start_station_name,lat,lng,member_casual,count,cum_percent
Western Ave & Leland Ave,41.9664236662676,-87.68869233864955,casual,2414,80.13738072914902
Fairbanks St & Superior St,41.89576042981312,-87.62012441533638,casual,2408,80.27563415433744
Calumet Ave & 21st St,41.85416139106723,-87.619181055029415,casual,2380,80.41227998155856
Winthrop Ave & Lawrence Ave,41.968834976972126,-87.65764753138514,casual,2368,80.54823683822225
May St & Taylor St,41.869490628879966,-87.6554858598098,casual,2366,80.68407886645971
N Green St & W Lake St,41.89,-87.65,casual,2340,80.81842812515609
State St & Pearson St,41.89745511588591,-87.62873041732065,casual,2314,80.95128461431142
Canal St & Taylor St,41.87021360038079,-87.6394738348637,casual,2311,81.08396886082737
Wacker Dr & Washington St,41.88316758407118,-87.63729586191405,casual,2304,81.21625120785151
Racine Ave & 18th St,41.85819431256087,-87.65647141313043,casual,2300,81.34830389802316
Woodlawn Ave & 55th St,41.79530400599913,-87.59651340854394,casual,2287,81.4796102034243
Western Ave & Division St,41.90289924415351,-87.68736659660965,casual,2280,81.61051460933359
Lake Park Ave & 56th St,41.79325331048309,-87.5877967102679,casual,2277,81.74124677260355
Jefferson St & Monroe St,41.880341295751315,-87.64273731661248,casual,2276,81.87192152166037
Seeley Ave & Roscoe St,41.94339415196217,-87.67964613552574,casual,2273,82.00242402807785
Bissell St & Armitage Ave,41.917989241928666,-87.65215864162484,casual,2271,82.13281170606909
Lincoln Ave & Roscoe St*,41.94334590574449,-87.67074077328193,casual,2270,82.26314196984721
Humboldt Blvd & Armitage Ave,41.91752023625442,-87.70181424923145,casual,2264,82.39312774834661
Sheridan Rd & Lawrence Ave,41.969505106809656,-87.65471256481233,casual,2238,82.52162075730496
Wood St & Chicago Ave,41.89562828818141,-87.6721028730697,casual,2238,82.65011376626329
Blue Island Ave & 18th St,41.85750621599374,-87.66158548988362,casual,2234,82.77837711836916
Ashland Ave & Lake St,41.885948926408986,-87.66718523042697,casual,2225,82.90612374255697
Sheridan Rd & Noyes St (NU),42.05812586174797,-87.67746173531165,casual,2214,83.03323881040046
Chicago Ave & Sheridan Rd,42.05047404415787,-87.67783075369435,casual,2179,83.15834438078484
Broadway & Ridge Ave,41.9840301934071,-87.66028343106501,casual,2169,83.28287580903803
Damen Ave & Wellington Ave,41.93588189032855,-87.67843163191579,casual,2161,83.40694792358627
Spaulding Ave & Armitage Ave,41.917123633691524,-87.71023189675313,casual,2159,83.53090520970828
Ashland Ave & Grand Ave,41.8910974388175,-87.66670112645717,casual,2148,83.654230939486
Ashland Ave & Wellington Ave,41.93603645355368,-87.6698425353024,casual,2133,83.77669545606693
Lincoln Ave & Belmont Ave (Temp),41.93949568243645,-87.67108844999521,casual,2085,83.8964040904182
Morgan St & 18th St,41.85812590533915,-87.65110559389535,casual,2064,84.01490702629398
Racine Ave & Randolph St,41.88407193594739,-87.6569007314418,casual,2053,84.13277840582548
Logan Blvd & Elston Ave,41.92945401876284,-87.68416759564792,casual,2045,84.25019047165202
Leavitt St & Armitage Ave,41.917758141116,-87.68246104529123,casual,2043,84.36748770905233
Clybourn Ave & Division St,41.90459904954839,-87.64056821978164,casual,2015,84.48317734848533
Morgan St & Lake St*,41.88549953076385,-87.65231962925611,casual,2003,84.59817801736091
Clark St & 9th St (AMLI),41.87080941178411,-87.63120415197902,casual,2001,84.71306385781025
